country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,fixme,abandoned,access,addr_city,addr_country,addr_hamlet,addr_housename,addr_housenumber,addr_municipality,addr_place,addr_postcode,addr_street,amenity,barrier,beds,bicycle,brand,brand_wikidata,brand_wikipedia,building,contact,contact_facebook,contact_phone,created_by,denomination,description,dispensing,disused,electricity,email,emergency,facility_manager,facility_use,foot,health_amenity_type,health_facility_type,healthcare,healthcare_speciality,insurance_health,internet_access,leisure,mobile,motorcar,motorcycle,name_en,name_fr,name_pcm,name_pl,note,office,opening_hours,operator,operator_type,payment_cash,payment_debit_cards,payment_mastercard,payment_visa,phone,post_box_type,religion,shop,short_name,source_date,source_dispensing,source_name,source_position,staff_count_doctors,staff_count_nurses,status,survey_date,users_plwd,users_boy,users_elderly,users_female,users_girl,users_men,warehouse,waterway,website,wheelchair,addr_province,alt_name,check_date,drive_through,fax,height,landuse,level,natural,postal_code,start_date,surface,wikidata,wikipedia,type,facility_key
Benin,BEN,Western Africa RCC,Sindo ONG,clinic,points,4555393213,6.4776753,2.3422667,OpenStreetMap via osmdata,benin | sindo ong,Sindo ONG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sindo ong
Benin,BEN,Western Africa RCC,Medico-social coeur d'accueil,clinic,points,4555410868,6.4827461,2.359312,OpenStreetMap via osmdata,benin | medico social coeur d accueil,Medico-social coeur d'accueil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,medico social coeur d accueil
Benin,BEN,Western Africa RCC,Cabinet Médical ONG-SADO-BENIN,doctors,points,4555414285,6.5326039,2.3348949,OpenStreetMap via osmdata,benin | cabinet medical ong sado benin,Cabinet Médical ONG-SADO-BENIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cabinet medical ong sado benin
Benin,BEN,Western Africa RCC,Cabinet médical les merveilles,doctors,points,4555414286,6.5296108,2.3424308,OpenStreetMap via osmdata,benin | cabinet medical les merveilles,Cabinet médical les merveilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cabinet medical les merveilles
Benin,BEN,Western Africa RCC,ONG CRADES,dentist,points,4555414287,6.5331059,2.3407604,OpenStreetMap via osmdata,benin | ong crades,ONG CRADES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dentist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ong crades
Benin,BEN,Western Africa RCC,Centre de santé Dr Euloge Rey,doctors,points,4555434551,6.5058154,2.3163563,OpenStreetMap via osmdata,benin | centre de sante dr euloge rey,Centre de santé Dr Euloge Rey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,centre de sante dr euloge rey
Benin,BEN,Western Africa RCC,Centre Médicale Selome,doctors,points,4555441160,6.5207108,2.3393755,OpenStreetMap via osmdata,benin | centre medicale selome,Centre Médicale Selome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,centre medicale selome
Benin,BEN,Western Africa RCC,NA,NA,points,4568519450,9.9243087,3.2098308,OpenStreetMap via osmdata,benin | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,BEN,Western Africa RCC,NA,NA,points,4568519451,9.9242347,3.2098074,OpenStreetMap via osmdata,benin | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,BEN,Western Africa RCC,NA,NA,points,4568519452,9.9242562,3.2097376,OpenStreetMap via osmdata,benin | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
