"province","zone_sante","n_alertes","alertes_7j","alertes_30j","n_confirmes","n_deces","derniere_alerte","score_criticite","priorite"
"it Ituri Province","It Lopa Aire De Santé",10,2,10,5,0,"2026-06-20",41,"HAUTE"
"it Ituri Province","It Eru Yofenyiri Aire De Santé",11,10,10,0,0,"2026-06-22",40,"HAUTE"
"nk Nord Kivu Province","Nk Bulambo Aire De Santé",13,9,13,0,0,"2026-06-18",40,"HAUTE"
"nk Nord Kivu Province","Nk Kasitu Aire De Santé",10,10,10,0,0,"2026-06-23",40,"HAUTE"
"nk Nord Kivu Province","Nk Kyalumba Aire De Santé",16,8,16,0,0,"2026-06-23",40,"HAUTE"
"it Ituri Province","It Bafwabango Aire De Santé",8,7,8,2,0,"2026-06-22",39,"HAUTE"
"it Ituri Province","It Mambasa Aire De Santé",13,7,13,1,1,"2026-06-20",39,"HAUTE"
"it Ituri Province","It Sabe Aire De Santé",11,8,10,1,0,"2026-06-23",39,"HAUTE"
"it Ituri Province","It Yaba Aire De Santé",15,8,15,0,0,"2026-06-23",39,"HAUTE"
"it Ituri Province","It Kobu Aire De Santé",22,2,17,3,0,"2026-06-20",38,"HAUTE"
"nk Nord Kivu Province","Nk Vuhasa Aire De Santé",9,8,9,1,0,"2026-06-23",38,"HAUTE"
"it Ituri Province","It Mabangifo Aire De Santé",10,9,10,0,0,"2026-06-23",37,"HAUTE"
"nk Nord Kivu Province","Nk Vusenzera Aire De Santé",6,2,6,5,2,"2026-06-20",37,"HAUTE"
"it Ituri Province","It Amati Aire De Santé",9,9,9,0,0,"2026-06-21",36,"HAUTE"
"it Ituri Province","It Ekanga Aire De Santé",9,9,9,0,0,"2026-06-23",36,"HAUTE"
"it Ituri Province","It Salama Aire De Santé",7,3,7,4,0,"2026-06-23",36,"HAUTE"
"nk Nord Kivu Province","Nk Vuhesi Aire De Santé",15,7,15,0,0,"2026-06-23",36,"HAUTE"
"ks Kasai Province","Ks Bulape Communautaire Aire De Santé",215,0,0,7,7,"2025-12-12",35,"HAUTE"
"it Ituri Province","It Araba Aire De Santé",13,7,13,0,0,"2026-06-23",34,"HAUTE"
"nk Nord Kivu Province","Nk Mukuna Aire De Santé",8,7,8,1,0,"2026-06-23",34,"HAUTE"
"it Ituri Province","It Elake Aire De Santé",9,8,9,0,0,"2026-06-20",33,"HAUTE"
"it Ituri Province","It Kigonze Aire De Santé",9,5,8,2,0,"2026-06-21",33,"HAUTE"
"sk Sud Kivu Province","Sk Ciranga Aire De Santé",9,8,9,0,0,"2026-06-21",33,"HAUTE"
"it Ituri Province","It Tadiri Aire De Santé",8,8,8,0,0,"2026-06-20",32,"HAUTE"
"sk Sud Kivu Province","Sk Chahoboka Aire De Santé",8,8,8,0,0,"2026-06-21",32,"HAUTE"
"it Ituri Province","It Tchomia Aire De Santé",13,3,12,2,0,"2026-06-21",31,"HAUTE"
"nk Nord Kivu Province","Nk Burusi Aire De Santé",13,6,13,0,0,"2026-06-23",31,"HAUTE"
"sk Sud Kivu Province","Sk Kabushwa Aire De Santé",10,7,10,0,0,"2026-06-21",31,"HAUTE"
"it Ituri Province","It Akwe Aire De Santé",8,4,8,2,0,"2026-06-20",30,"HAUTE"
"it Ituri Province","It Juhudi Aire De Santé",5,5,5,2,0,"2026-06-23",30,"HAUTE"
"nk Nord Kivu Province","Nk Matanda Aire De Santé",5,0,5,5,1,"2026-06-14",30,"HAUTE"
"it Ituri Province","It Kasenyi Centre Aire De Santé",7,4,7,2,0,"2026-06-23",29,"HAUTE"
"it Ituri Province","It Aubha Aire De Santé",7,7,7,0,0,"2026-06-20",28,"HAUTE"
"it Ituri Province","It Mado Aire De Santé",7,7,7,0,0,"2026-06-23",28,"HAUTE"
"nk Nord Kivu Province","Nk Virunga Aire De Santé",10,6,10,0,0,"2026-06-21",28,"HAUTE"
"nk Nord Kivu Province","Nk Museya Aire De Santé",9,6,9,0,0,"2026-06-23",27,"HAUTE"
"nk Nord Kivu Province","Nk Vyakuno Aire De Santé",13,3,13,1,1,"2026-06-23",27,"HAUTE"
"it Ituri Province","It Buta Aire De Santé",8,6,8,0,0,"2026-06-18",26,"HAUTE"
"it Ituri Province","It Dele Aire De Santé",15,1,13,2,1,"2026-06-17",26,"HAUTE"
"nk Nord Kivu Province","Nk Kitolu Aire De Santé",11,5,11,0,0,"2026-06-22",26,"HAUTE"
"it Ituri Province","It Ariwara Aire De Santé",16,3,16,0,0,"2026-06-23",25,"HAUTE"
"it Ituri Province","It Bbaya Aire De Santé",8,4,8,1,0,"2026-06-21",25,"HAUTE"
"it Ituri Province","It Makabo Aire De Santé",8,6,7,0,0,"2026-06-21",25,"HAUTE"
"it Ituri Province","It Sukisa 2 Aire De Santé",8,4,8,1,0,"2026-06-23",25,"HAUTE"
"nk Nord Kivu Province","Nk Mabakanga Aire De Santé",4,2,4,3,2,"2026-06-23",25,"HAUTE"
"nk Nord Kivu Province","Nk Vulambayiri Aire De Santé",13,4,13,0,0,"2026-06-23",25,"HAUTE"
"it Ituri Province","It Kasenyi Cité Aire De Santé",7,4,7,1,0,"2026-06-23",24,"HAUTE"
"it Ituri Province","It Laro Aire De Santé",6,6,6,0,0,"2026-06-18",24,"HAUTE"
"it Ituri Province","It Leri Aire De Santé",12,4,12,0,0,"2026-06-23",24,"HAUTE"
"it Ituri Province","It Yangambi Aire De Santé",6,6,6,0,0,"2026-06-23",24,"HAUTE"
"nk Nord Kivu Province","Nk Makangala Aire De Santé",9,2,8,2,0,"2026-06-21",24,"HAUTE"
"it Ituri Province","It Alibha Aire De Santé",23,0,23,0,0,"2026-06-16",23,"HAUTE"
"it Ituri Province","It Ania Aire De Santé",19,1,19,0,0,"2026-06-17",22,"HAUTE"
"nk Nord Kivu Province","Nk Kihinga Aire De Santé",3,3,3,2,0,"2026-06-18",22,"HAUTE"
"nk Nord Kivu Province","Nk Malepe Aire De Santé",3,3,3,2,1,"2026-06-22",22,"HAUTE"
"nk Nord Kivu Province","Nk Masiki Aire De Santé",10,4,10,0,0,"2026-06-23",22,"HAUTE"
"nk Nord Kivu Province","Nk Mugunga Aire De Santé",22,0,22,0,0,"2026-06-14",22,"HAUTE"
"it Ituri Province","It Mandima Aire De Santé",9,4,9,0,0,"2026-06-23",21,"HAUTE"
"it Ituri Province","It Mudzibala Poc",9,4,9,0,0,"2026-06-23",21,"HAUTE"
"nk Nord Kivu Province","Nk Kanzulinzuli Aire De Santé",3,1,3,3,1,"2026-06-23",21,"HAUTE"
"it Ituri Province","It Aloga Aire De Santé",5,5,5,0,0,"2026-06-23",20,"HAUTE"
"it Ituri Province","It Bahaha Aire De Santé",5,5,5,0,0,"2026-06-19",20,"HAUTE"
"it Ituri Province","It Langa Aire De Santé",5,5,5,0,0,"2026-06-22",20,"HAUTE"
"nk Nord Kivu Province","Nk Buhesi Aire De Santé",5,5,5,0,0,"2026-06-18",20,"HAUTE"
"nk Nord Kivu Province","Nk Vayana Aire De Santé",5,5,5,0,0,"2026-06-23",20,"HAUTE"
"sk Sud Kivu Province","Sk Kalangane Aire De Santé",5,5,5,0,0,"2026-06-21",20,"HAUTE"
"it Ituri Province","It Drodro Aire De Santé",9,4,7,0,0,"2026-06-23",19,"MODÉRÉE"
"it Ituri Province","It Muhito Aire De Santé",4,2,3,2,0,"2026-06-18",19,"MODÉRÉE"
"nk Nord Kivu Province","Nk Benengule Aire De Santé",3,2,3,2,1,"2026-06-22",19,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kasisi Aire De Santé",7,4,7,0,0,"2026-06-23",19,"MODÉRÉE"
"nk Nord Kivu Province","Nk Makerere Aire De Santé",10,3,10,0,0,"2026-06-18",19,"MODÉRÉE"
"nk Nord Kivu Province","Nk Munigi Aire De Santé",13,2,13,0,0,"2026-06-22",19,"MODÉRÉE"
"nk Nord Kivu Province","Nk Musenda Aire De Santé",10,3,10,0,0,"2026-06-20",19,"MODÉRÉE"
"it Ituri Province","It Djalasiga Aire De Santé",4,0,3,3,0,"2026-06-16",18,"MODÉRÉE"
"it Ituri Province","It Pilipili Aire De Santé",3,0,3,3,0,"2026-06-14",18,"MODÉRÉE"
"nk Nord Kivu Province","Nk Katsya Aire De Santé",2,2,2,2,2,"2026-06-20",18,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kyangike Aire De Santé",3,0,3,3,2,"2026-06-15",18,"MODÉRÉE"
"nk Nord Kivu Province","Nk Bugamba Aire De Santé",18,0,17,0,0,"2026-06-02",17,"MODÉRÉE"
"nk Nord Kivu Province","Nk Turunga Aire De Santé",18,0,17,0,0,"2026-06-09",17,"MODÉRÉE"
"it Ituri Province","It Boga Aire De Santé",6,4,4,0,0,"2026-06-22",16,"MODÉRÉE"
"it Ituri Province","It Kindia Aire De Santé",7,2,5,1,0,"2026-06-22",16,"MODÉRÉE"
"it Ituri Province","It Mabitane Aire De Santé",4,4,4,0,0,"2026-06-23",16,"MODÉRÉE"
"it Ituri Province","It Nia Nia Aire De Santé",4,4,4,0,0,"2026-06-22",16,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kirindera Aire De Santé",4,4,4,0,0,"2026-06-23",16,"MODÉRÉE"
"nk Nord Kivu Province","Nk Vuhika Aire De Santé",4,4,4,0,0,"2026-06-23",16,"MODÉRÉE"
"it Ituri Province","It Nyarambe Mission Aire De Santé",9,3,6,0,0,"2026-06-19",15,"MODÉRÉE"
"ks Kasai Province","Ks Bambalaie Aire De Santé",76,0,0,3,2,"2025-11-25",15,"MODÉRÉE"
"nk Nord Kivu Province","Nk Bunyuka Aire De Santé",7,3,6,0,1,"2026-06-23",15,"MODÉRÉE"
"it Ituri Province","It Ituri Aire De Santé",2,1,1,2,0,"2026-06-22",14,"MODÉRÉE"
"it Ituri Province","It Ngabulo Aire De Santé",3,2,3,1,0,"2026-06-20",14,"MODÉRÉE"
"nk Nord Kivu Province","Nk Rughenda Aire De Santé",6,1,6,1,0,"2026-06-21",14,"MODÉRÉE"
"nk Nord Kivu Province","Nk Tulizeni Aire De Santé",8,2,8,0,0,"2026-06-21",14,"MODÉRÉE"
"nk Nord Kivu Province","Nk Vutumbi Aire De Santé",8,2,8,0,0,"2026-06-23",14,"MODÉRÉE"
"it Ituri Province","It Bafwambaya Aire De Santé",2,2,2,1,0,"2026-06-22",13,"MODÉRÉE"
"it Ituri Province","It Bogoro Aire De Santé",6,1,5,1,0,"2026-06-20",13,"MODÉRÉE"
"it Ituri Province","It Ngona Aire De Santé",12,1,10,0,1,"2026-06-20",13,"MODÉRÉE"
"it Ituri Province","It Songolo Aire De Santé",3,2,2,1,0,"2026-06-19",13,"MODÉRÉE"
"nk Nord Kivu Province","Nk Lubero Cité Aire De Santé",7,2,7,0,0,"2026-06-23",13,"MODÉRÉE"
"nk Nord Kivu Province","Nk Ndindi Aire De Santé",3,0,3,2,2,"2026-06-16",13,"MODÉRÉE"
"nk Nord Kivu Province","Nk Vighole Aire De Santé",4,3,4,0,0,"2026-06-23",13,"MODÉRÉE"
"it Ituri Province","It Apari Aire De Santé",3,3,3,0,0,"2026-06-23",12,"MODÉRÉE"
"it Ituri Province","It Berunda Aire De Santé",9,1,9,0,0,"2026-06-19",12,"MODÉRÉE"
"it Ituri Province","It Kilo Mission Aire De Santé",4,0,2,2,0,"2026-06-05",12,"MODÉRÉE"
"it Ituri Province","It Mputu Aire De Santé",4,1,4,1,0,"2026-06-17",12,"MODÉRÉE"
"it Ituri Province","It Soleniama Aire De Santé",3,3,3,0,0,"2026-06-19",12,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kahondo Aire De Santé",12,0,12,0,0,"2026-06-01",12,"MODÉRÉE"
"nk Nord Kivu Province","Nk Katiri Aire De Santé",6,2,6,0,0,"2026-06-22",12,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kibwe Aire De Santé",6,2,6,0,0,"2026-06-23",12,"MODÉRÉE"
"nk Nord Kivu Province","Nk Mama Musayi Aire De Santé",2,0,2,2,1,"2026-06-15",12,"MODÉRÉE"
"nk Nord Kivu Province","Nk Vunyakondomi Aire De Santé",3,3,3,0,0,"2026-06-23",12,"MODÉRÉE"
"it Ituri Province","It Irumu Aire De Santé",10,1,8,0,1,"2026-06-20",11,"MODÉRÉE"
"it Ituri Province","It Mangiva Aire De Santé",3,1,3,1,0,"2026-06-21",11,"MODÉRÉE"
"it Ituri Province","It Baimani Aire De Santé",3,1,2,1,0,"2026-06-17",10,"MODÉRÉE"
