timestamp_utc,num,date,page_url,pdf_url,strategy,status,local_path,sha256
2026-07-19 10:31:20,34,2026-06-17,https://insp.cd/sitrep-n34-mvb_17-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:34:08,35,2026-06-18,https://insp.cd/sitrep-n35-mvb_18-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:37:16,36,2026-06-19,https://insp.cd/sitrep-n36-mvb_19-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:40:09,37,2026-06-20,https://insp.cd/sitrep-n37-mvb_20-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:42:59,38,2026-06-21,https://insp.cd/sitrep-n38-mvb_21-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:46:02,39,2026-06-22,https://insp.cd/sitrep-n39-mvb_22-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:49:06,40,2026-06-23,https://insp.cd/sitrep-n040-mvb_23-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:52:06,41,2026-06-24,https://insp.cd/sitrep-n041-mvb_24-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:54:35,42,2026-06-25,https://insp.cd/sitrep-n042-mvb_25-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:54:35,43,ND,ND,ND,none,not_found_on_INSP,ND,ND
2026-07-19 10:57:38,44,2026-06-27,https://insp.cd/sitrep-n044-mvb_27-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:57:38,45,ND,ND,ND,none,not_found_on_INSP,ND,ND
2026-07-19 11:00:38,46,2026-06-29,https://insp.cd/sitrep-n046-mvb_29-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:03:34,47,2026-06-30,https://insp.cd/sitrep-n047-mvb_30-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:06:33,48,2026-07-01,https://insp.cd/sitrep-n48-mvb_01-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:09:18,49,2026-07-02,https://insp.cd/sitrep-n049-mvb_02-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:12:36,50,2026-07-02,https://insp.cd/sitrep-n050-mvb_02-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:15:26,51,2026-07-04,https://insp.cd/sitrep-n051-mvb_04-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:18:27,52,2026-07-05,https://insp.cd/sitrep-n052-mvb_05-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:21:05,53,2026-07-06,https://insp.cd/sitrep-n053-mvb_06-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:24:11,54,2026-07-07,https://insp.cd/sitrep-n054-mvb_07-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:26:48,55,2026-07-08,https://insp.cd/sitrep-n055-mvb_08-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:29:33,56,2026-07-09,https://insp.cd/sitrep-n056-mvb_09-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:32:48,57,2026-07-10,https://insp.cd/sitrep-n057-mvb_10-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:35:47,58,2026-07-11,https://insp.cd/sitrep-n058-mvb_11-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:35:47,59,ND,ND,ND,none,not_found_on_INSP,ND,ND
2026-07-19 11:35:47,60,ND,ND,ND,none,not_found_on_INSP,ND,ND
2026-07-19 11:38:49,61,2026-07-14,https://insp.cd/sitrep-n061-mvb_14-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:41:51,62,2026-07-15,https://insp.cd/sitrep-n062-mvb_15-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 11:41:51,63,ND,ND,ND,none,not_found_on_INSP,ND,ND
2026-07-19 11:44:49,64,2026-07-17,https://insp.cd/sitrep-n064-mvb_17-07-2026/,ND,all_failed,pdf_link_absent,ND,ND
