timestamp_utc,num,date,page_url,pdf_url,strategy_success,strategies_tried,status,local_path,sha256
2026-07-19 11:03:49,18,2026-06-01,https://insp.cd/sitrep-n018-mvb_01-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Daft-SitRep_MVE_RDC_N18_01_06_2026_JO_PA-Final-1.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N018_2026-06-01.pdf,14833f7e1a65b61b5222cc46b2f9531d7a57e4e8f0724009447b9319c86614c8
2026-07-19 11:04:11,19,2026-06-01,https://insp.cd/sitrep-n019-mvb_01-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Draft-1-SitRep_MVE_RDC_N19_02_06_2026-_JO_PA-FINAL.-2.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N019_2026-06-01.pdf,347720b747a917db84122dcc5689957a2483cf01223a7ef356f648893ec5df73
2026-07-19 11:04:30,20,2026-06-02,https://insp.cd/sitrep-n020-mvb_02-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Draft-2-SitRep_MVE_RDC_N20_02_06_2026-_JO_PA-FINAL.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N020_2026-06-02.pdf,6f1c2cf12404cf5d3d6ed04dc01767a5688fab2efee5b4715764c25bd9b7d1ac
2026-07-19 11:04:30,21,ND,ND,ND,none,not_in_meta,not_found_on_INSP,ND,ND
2026-07-19 11:04:42,22,2026-06-05,https://insp.cd/sitrep-n22-mvb_05-06-2026/,https://insp.cd/wp-content/uploads/2026/06/VF_SitRep_MVE_RDC_N22_06_06_2026-FD_JO2_PA.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N022_2026-06-05.pdf,fb012aa6ffb2e98643e1f0a532112b652b7ed94b31fe69273ef1419ecb085a0b
2026-07-19 11:04:55,23,2026-06-06,https://insp.cd/sitrep-n23-mvb_06-06-2026/,https://insp.cd/wp-content/uploads/2026/06/VF-Draft-Final-SitRep_MVE_RDC_NA°23_07_06_2026-FD.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N023_2026-06-06.pdf,f0307be57a990c621746e22407e5977d0822e655195d59ac0d7ac23b1612aff8
2026-07-19 11:05:08,24,2026-06-07,https://insp.cd/sitrep-n24-mvb_07-06-2026/,https://insp.cd/wp-content/uploads/2026/06/SitRep_MVE_RDC_N°24_07_06_2026-FD.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N024_2026-06-07.pdf,3d5646b5f3e65764fd6b0bcf9a282a9a6a4f461bc4210ae2c152fe7350e460a9
2026-07-19 11:05:20,25,2026-06-08,https://insp.cd/sitrep-n25-mvb_08-06-2026/,https://insp.cd/wp-content/uploads/2026/06/SitRep_MVE_RDC_N°25_08_06_2026-FD-1.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N025_2026-06-08.pdf,46768bbb0b7deba44ccb740cce2de37023f1ab39f3e78b37e8a6ad986dd36c81
2026-07-19 11:05:46,26,2026-06-09,https://insp.cd/sitrep-n26-mvb_09-06-2026/,https://insp.cd/wp-content/uploads/2026/06/SitRep_MVE_RDC_N°26_09_06_2026_Final.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N026_2026-06-09.pdf,cf674a59b2d59b4edb10f58d61eb8588991bbf1ca5e043a096b5f852c27677a6
2026-07-19 11:06:00,27,2026-06-10,https://insp.cd/sitrep-n27-mvb_10-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Draft_1_SitRep_MVE_RDC_N°27_10_06_2026-2.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N027_2026-06-10.pdf,1b2af34d471dceda805615ea795a91f7d2b3b32773add7b2e6e785a0ece051f4
2026-07-19 11:06:28,28,2026-06-11,https://insp.cd/sitrep-n28-mvb_11-06-2026/,https://insp.cd/wp-content/uploads/2026/06/SitRep_MVE_RDC_N°28_11062026_Final.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N028_2026-06-11.pdf,b7d9261c860f5dd1ead43f4b59493ccb5668a754a8b1fa9a2ad7acb7589ad987
2026-07-19 11:06:28,29,ND,ND,ND,none,not_in_meta,not_found_on_INSP,ND,ND
2026-07-19 11:06:39,30,2026-06-13,https://insp.cd/sitrep-n30-mvb_13-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Draft-Final_SitRep_MVE_RDC_N°30_13_06_2026-FD-1-1.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N030_2026-06-13.pdf,8de93e5eebbf5e97263a18de2e4aaa635e6377832372e70c5c66ad14900f53aa
2026-07-19 11:06:52,31,2026-06-14,https://insp.cd/sitrep-n31-mvb_14-06-2026/,https://insp.cd/wp-content/uploads/2026/06/VF-SitRep_MVE_RDC_N°31_14_06_2026.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N031_2026-06-14.pdf,5021541c0b26ce5fc8d172664d11e5ed300d128cf6ba006466bfc269d6f687bc
2026-07-19 11:07:07,32,2026-06-15,https://insp.cd/sitrep-n32-mvb_15-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Final_SitRep_MVE_RDC_N°32_15_06_2026-1.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N032_2026-06-15.pdf,9c25ac85c6f6bf90b5a0965514a2452fd5abcee9f9760b9d0d68fba35fcc4dfb
2026-07-19 11:07:21,33,2026-06-16,https://insp.cd/sitrep-n33-mvb_16-06-2026/,https://insp.cd/wp-content/uploads/2026/06/SitRep_MVE_RDC_N°33_16_06_2026.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N033_2026-06-16.pdf,b70cd26f0bceba7ed91ac86dfbeaec776106385885536ce383d368068a6eb6cf
2026-07-19 11:07:30,34,2026-06-17,https://insp.cd/sitrep-n34-mvb_17-06-2026/,https://insp.cd/wp-content/uploads/2026/06/Draft-1-SitRep_MVE_RDC_N34_17_06_2026_JO2-1.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N034_2026-06-17.pdf,d9fb49946779aeb643a21aaebb47126b08ae4e440c8056f303f445abde211ab6
