timestamp_utc,num,date,page_url,pdf_url,status,local_path,sha256
2026-07-19 08:22:33,50,2026-07-02,https://insp.cd/sitrep-n050-mvb_02-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:22:40,51,2026-07-04,https://insp.cd/sitrep-n051-mvb_04-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:22:49,52,2026-07-05,https://insp.cd/sitrep-n052-mvb_05-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:22:57,53,2026-07-06,https://insp.cd/sitrep-n053-mvb_06-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:23:05,54,2026-07-07,https://insp.cd/sitrep-n054-mvb_07-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:23:12,55,2026-07-08,https://insp.cd/sitrep-n055-mvb_08-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:23:18,56,2026-07-09,https://insp.cd/sitrep-n056-mvb_09-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:23:26,57,2026-07-10,https://insp.cd/sitrep-n057-mvb_10-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:23:34,58,2026-07-11,https://insp.cd/sitrep-n058-mvb_11-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:23:34,59,ND,ND,ND,not_found_on_INSP,ND,ND
2026-07-19 08:23:34,60,ND,ND,ND,not_found_on_INSP,ND,ND
2026-07-19 08:23:40,61,2026-07-14,https://insp.cd/sitrep-n061-mvb_14-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:23:48,62,2026-07-15,https://insp.cd/sitrep-n062-mvb_15-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:23:48,63,ND,ND,ND,not_found_on_INSP,ND,ND
2026-07-19 08:23:57,64,2026-07-17,https://insp.cd/sitrep-n064-mvb_17-07-2026/,ND,pdf_link_absent,ND,ND
