sitrep_no,indicator_code,domain,value,extraction_rule,value_source,source_type,priority
18,alerts_reported,surveillance,137,tbl_alerts_reported,NA,NA,NA
18,alerts_validated,surveillance,85,tbl_alerts_validated,NA,NA,NA
18,case_fatality_ratio,deaths,17.4,computed_from_INRB,NA,NA,NA
18,cases_ituri,cases,322,province_row_ituri,NA,NA,NA
18,cases_nordkivu,cases,510,province_row_nordkivu,NA,NA,NA
18,cases_sudkivu,cases,150,province_row_sudkivu,NA,NA,NA
18,cumulative_confirmed_cases,reference,344,INRB_reference,NA,NA,NA
18,cumulative_deaths,reference,60,INRB_reference,NA,NA,NA
18,deaths_ituri,deaths,350,province_row_ituri,NA,NA,NA
18,deaths_nordkivu,deaths,301,province_row_nordkivu,NA,NA,NA
18,deaths_sudkivu,deaths,142,province_row_sudkivu,NA,NA,NA
18,hz_affected_national,geography,24,total_row_cases_deaths_cfr_hz,NA,NA,NA
18,lab_positivity_rate,laboratory,30.3,tbl_lab_positivity,NA,NA,NA
18,samples_analyzed,laboratory,76,tbl_samples_analyzed,NA,NA,NA
18,samples_collected,laboratory,76,tbl_samples_collected,NA,NA,NA
18,samples_positive,laboratory,23,tbl_samples_positive,NA,NA,NA
18,suspected_cases_investigation,reference,289,INRB_reference,NA,NA,NA
19,alerts_reported,surveillance,158,tbl_alerts_reported,NA,NA,NA
19,alerts_validated,surveillance,122,tbl_alerts_validated,NA,NA,NA
19,case_fatality_ratio,deaths,17.1,computed_from_INRB,NA,NA,NA
19,cases_ituri,cases,341,province_row_ituri,NA,NA,NA
19,cases_nordkivu,cases,519,province_row_nordkivu,NA,NA,NA
19,cases_sudkivu,cases,137,province_row_sudkivu,NA,NA,NA
19,cumulative_confirmed_cases,reference,363,INRB_reference,NA,NA,NA
19,cumulative_deaths,reference,62,INRB_reference,NA,NA,NA
19,deaths_ituri,deaths,637,province_row_ituri,NA,NA,NA
19,deaths_nordkivu,deaths,326,province_row_nordkivu,NA,NA,NA
19,deaths_sudkivu,deaths,131,province_row_sudkivu,NA,NA,NA
19,suspected_cases_investigation,reference,206,INRB_reference,NA,NA,NA
20,alerts_reported,surveillance,166,tbl_alerts_reported,NA,NA,NA
20,alerts_validated,surveillance,141,tbl_alerts_validated,NA,NA,NA
20,case_fatality_ratio,deaths,16.8,computed_from_INRB,NA,NA,NA
20,cases_ituri,cases,359,province_row_ituri,NA,NA,NA
20,cases_nordkivu,cases,533,province_row_nordkivu,NA,NA,NA
20,cases_sudkivu,cases,181,province_row_sudkivu,NA,NA,NA
20,cumulative_confirmed_cases,reference,381,INRB_reference,NA,NA,NA
20,cumulative_deaths,reference,64,INRB_reference,NA,NA,NA
20,deaths_ituri,deaths,837,province_row_ituri,NA,NA,NA
20,deaths_nordkivu,deaths,343,province_row_nordkivu,NA,NA,NA
20,deaths_sudkivu,deaths,150,province_row_sudkivu,NA,NA,NA
20,hz_affected_ituri,geography,17,hz_affected_ituri,NA,NA,NA
20,hz_affected_nordkivu,geography,7,hz_affected_nordkivu,NA,NA,NA
20,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
21,alerts_reported,surveillance,146,tbl_alerts_reported,NA,NA,NA
21,alerts_validated,surveillance,104,tbl_alerts_validated,NA,NA,NA
21,case_fatality_ratio,deaths,18.1,computed_from_INRB,NA,NA,NA
21,cases_ituri,cases,424,province_row_ituri,NA,NA,NA
21,cases_nordkivu,cases,589,province_row_nordkivu,NA,NA,NA
21,cases_sudkivu,cases,180,province_row_sudkivu,NA,NA,NA
21,cumulative_confirmed_cases,reference,452,INRB_reference,NA,NA,NA
21,cumulative_deaths,reference,82,INRB_reference,NA,NA,NA
21,deaths_ituri,deaths,997,province_row_ituri,NA,NA,NA
21,deaths_nordkivu,deaths,424,province_row_nordkivu,NA,NA,NA
21,deaths_sudkivu,deaths,150,province_row_sudkivu,NA,NA,NA
21,hz_affected_ituri,geography,17,hz_affected_ituri,NA,NA,NA
21,hz_affected_national,geography,25,total_row_cases_deaths_cfr_hz,NA,NA,NA
21,hz_affected_nordkivu,geography,7,hz_affected_nordkivu,NA,NA,NA
21,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
21,samples_positive,laboratory,6,narr_samples_positive,NA,NA,NA
21,suspected_cases_investigation,reference,153,INRB_reference,NA,NA,NA
22,alerts_reported,surveillance,97,tbl_alerts_reported,NA,NA,NA
22,alerts_validated,surveillance,72,tbl_alerts_validated,NA,NA,NA
22,case_fatality_ratio,deaths,17.6,computed_from_INRB,NA,NA,NA
22,cases_ituri,cases,460,province_row_ituri,NA,NA,NA
22,cases_nordkivu,cases,689,province_row_nordkivu,NA,NA,NA
22,cases_sudkivu,cases,187,province_row_sudkivu,NA,NA,NA
22,cumulative_confirmed_cases,reference,488,INRB_reference,NA,NA,NA
22,cumulative_deaths,reference,86,INRB_reference,NA,NA,NA
22,deaths_ituri,deaths,281,province_row_ituri,NA,NA,NA
22,deaths_nordkivu,deaths,578,province_row_nordkivu,NA,NA,NA
22,deaths_sudkivu,deaths,184,province_row_sudkivu,NA,NA,NA
22,hz_affected_ituri,geography,17,hz_affected_ituri,NA,NA,NA
22,hz_affected_national,geography,25,total_row_cases_deaths_cfr_hz,NA,NA,NA
22,hz_affected_nordkivu,geography,7,hz_affected_nordkivu,NA,NA,NA
22,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
22,suspected_cases_investigation,reference,119,INRB_reference,NA,NA,NA
23,alerts_reported,surveillance,134,tbl_alerts_reported,NA,NA,NA
23,alerts_validated,surveillance,86,tbl_alerts_validated,NA,NA,NA
23,case_fatality_ratio,deaths,17.7,computed_from_INRB,NA,NA,NA
23,cases_ituri,cases,487,province_row_ituri,NA,NA,NA
23,cases_nordkivu,cases,699,province_row_nordkivu,NA,NA,NA
23,cases_sudkivu,cases,223,province_row_sudkivu,NA,NA,NA
23,cumulative_confirmed_cases,reference,515,INRB_reference,NA,NA,NA
23,cumulative_deaths,reference,91,INRB_reference,NA,NA,NA
23,deaths_ituri,deaths,118,province_row_ituri,NA,NA,NA
23,deaths_nordkivu,deaths,577,province_row_nordkivu,NA,NA,NA
23,deaths_sudkivu,deaths,179,province_row_sudkivu,NA,NA,NA
23,hz_affected_ituri,geography,17,hz_affected_ituri,NA,NA,NA
23,hz_affected_national,geography,25,total_row_cases_deaths_cfr_hz,NA,NA,NA
23,hz_affected_nordkivu,geography,7,hz_affected_nordkivu,NA,NA,NA
23,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
23,suspected_cases_investigation,reference,117,INRB_reference,NA,NA,NA
24,alerts_reported,surveillance,153,tbl_alerts_reported,NA,NA,NA
24,alerts_validated,surveillance,3,tbl_alerts_validated,NA,NA,NA
24,case_fatality_ratio,deaths,18.4,computed_from_INRB,NA,NA,NA
