sitrep_no,severity,issue_code,indicator_code,message,detected_at
13,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.492947
13,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.49488
13,WARNING,missing_case_fatality_ratio,case_fatality_ratio,Indicateur absent/invalide après QC : case_fatality_ratio,2026-06-25 17:04:52.497268
13,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.499336
13,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.50178
13,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.503979
13,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.506146
14,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.508047
14,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.509919
14,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.511653
14,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.513698
14,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.515736
14,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.518442
15,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.521524
15,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.523808
15,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.525738
15,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.527945
15,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.531175
15,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.533333
16,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.53683
16,CRITICAL,missing_cumulative_deaths,cumulative_deaths,Indicateur absent/invalide après QC : cumulative_deaths,2026-06-25 17:04:52.538579
16,WARNING,missing_new_confirmed_cases,new_confirmed_cases,Indicateur absent/non dérivé après QC : new_confirmed_cases,2026-06-25 17:04:52.540787
16,WARNING,missing_new_deaths,new_deaths,Indicateur absent/non dérivé après QC : new_deaths,2026-06-25 17:04:52.542895
16,WARNING,missing_contacts_followup_rate,contacts_followup_rate,Indicateur absent/non dérivé après QC : contacts_followup_rate,2026-06-25 17:04:52.544369
16,WARNING,missing_alerts_investigation_rate,alerts_investigation_rate,Indicateur absent/non dérivé après QC : alerts_investigation_rate,2026-06-25 17:04:52.546012
17,CRITICAL,missing_cumulative_confirmed_cases,cumulative_confirmed_cases,Indicateur absent/invalide après QC : cumulative_confirmed_cases,2026-06-25 17:04:52.548573
